name,gt,pred,tp,fp,fn,mean_iou,errors
fypcv_53e609812b7d26.jpg,0,0,0,0,0,0.0,0
fypcv_540d7b40db05ea.jpg,1,2,1,1,0,0.714,1
fypcv_54a3f589dec96f.jpg,2,2,2,0,0,0.889,0
fypcv_55336408b72920.jpg,1,1,1,0,0,0.785,0
fypcv_5888b5f390c4d9.jpg,2,1,1,0,1,0.866,1
fypcv_590ef2b10f63a9.jpg,0,1,0,1,0,0.0,1
fypcv_593a75f45439fa.jpg,0,1,0,1,0,0.0,1
fypcv_59792ea90f40ff.jpg,1,1,1,0,0,0.899,0
fypcv_59bd56aff93805.jpg,1,1,1,0,0,0.873,0
fypcv_59c59376716e6e.jpg,1,1,1,0,0,0.916,0
fypcv_5a485bc7562a7b.jpg,0,0,0,0,0,0.0,0
fypcv_5a8f3c8e35e304.jpg,1,1,1,0,0,0.639,0
fypcv_5ad1cc3111b51d.jpg,1,1,1,0,0,0.939,0
fypcv_5c4ba1b1e7d676.jpg,1,1,1,0,0,0.965,0
fypcv_5c4cc7999c65bc.jpg,1,1,1,0,0,0.936,0
fypcv_5d66372ceebd0f.jpg,2,3,2,1,0,0.825,1
fypcv_616032b4893e99.jpg,1,1,1,0,0,0.977,0
fypcv_61752d209ba86e.jpg,0,0,0,0,0,0.0,0
fypcv_61c87a0c72606d.jpg,1,0,0,0,1,0.0,1
fypcv_61d5457ba677fe.jpg,0,0,0,0,0,0.0,0
fypcv_63e084db5ec79c.jpg,1,1,1,0,0,0.939,0
fypcv_63f17f305bae4e.jpg,1,1,1,0,0,0.943,0
fypcv_661bf204b069c1.jpg,1,1,1,0,0,0.905,0
fypcv_66d900fc6834c4.jpg,1,1,1,0,0,0.762,0
fypcv_67b0d15a82f26b.jpg,1,1,1,0,0,0.736,0
fypcv_6912a0b874ffb6.jpg,1,1,1,0,0,0.833,0
fypcv_6927ffb6538f19.jpg,1,2,1,1,0,0.746,1
fypcv_6a1f3dca9f405b.jpg,1,1,1,0,0,0.896,0
fypcv_6a7c9a9447b9cb.jpg,1,1,1,0,0,0.828,0
fypcv_6a866ac152ce38.jpg,2,2,2,0,0,0.854,0
fypcv_6e0e90035adb26.jpg,1,1,1,0,0,0.833,0
fypcv_6ed9280adbdda3.jpg,1,1,1,0,0,0.804,0
fypcv_6f28560c5b3fb0.jpg,0,1,0,1,0,0.0,1
fypcv_723dcd0cffcc0f.jpg,1,1,1,0,0,0.918,0
fypcv_726899b37bd97c.jpg,1,3,1,2,0,0.724,2
fypcv_726b7819f2cdab.jpg,0,0,0,0,0,0.0,0
fypcv_7307e948845090.jpg,0,0,0,0,0,0.0,0
fypcv_73116d9c7132ea.jpg,1,1,1,0,0,0.867,0
fypcv_733c436cc0b721.jpg,1,1,1,0,0,0.735,0
fypcv_734e316c9cc3ad.jpg,1,1,1,0,0,0.917,0
fypcv_742a31006e10c9.jpg,1,0,0,0,1,0.0,1
fypcv_748dcff2f94e18.jpg,1,1,1,0,0,0.597,0
fypcv_772bc9fd627f0e.jpg,0,1,0,1,0,0.0,1
fypcv_775fc5b5ded7a6.jpg,1,1,0,1,1,0.0,2
fypcv_7866cf01e64df1.jpg,1,1,1,0,0,0.636,0
fypcv_7aa18149a52d21.jpg,1,1,1,0,0,0.929,0
fypcv_7aa321c3db5664.jpg,2,1,1,0,1,0.644,1
fypcv_7b3131dc9a6595.jpg,1,1,1,0,0,0.652,0
fypcv_7b9a792cdf561d.jpg,1,1,1,0,0,0.876,0
fypcv_7cbe5c69c13b02.jpg,1,2,1,1,0,0.892,1
fypcv_7d08d80744c3a5.jpg,2,2,2,0,0,0.728,0
fypcv_7d9e26efe0fcb6.jpg,1,1,1,0,0,0.842,0
fypcv_7e00a3aa6aede7.jpg,1,1,1,0,0,0.866,0
fypcv_7f99a7849276b9.jpg,1,2,1,1,0,0.903,1
fypcv_7ff7d7a59e5629.jpg,1,1,1,0,0,0.71,0
fypcv_80377acb46770b.jpg,1,1,1,0,0,0.943,0
fypcv_809ece686dd858.jpg,1,1,1,0,0,0.885,0
fypcv_8270cdaec10b7a.jpg,1,1,1,0,0,0.835,0
fypcv_82b8e055d5e1fc.jpg,1,1,1,0,0,0.845,0
fypcv_85ac8785f53783.jpg,1,1,1,0,0,0.734,0
fypcv_85d0ff3793f0e7.jpg,0,0,0,0,0,0.0,0
fypcv_864cabe64116fb.jpg,1,3,1,2,0,0.839,2
fypcv_86d86904cfbaa0.jpg,1,1,1,0,0,0.726,0
fypcv_8955f6caaf2089.jpg,1,1,1,0,0,0.888,0
fypcv_8973805da5f5d0.jpg,1,0,0,0,1,0.0,1
fypcv_8a9fad49e4849a.jpg,2,2,2,0,0,0.825,0
fypcv_8ab36f621f828a.jpg,1,1,1,0,0,0.871,0
