epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.428,1.74589,4.13184,1.78531,0.21808,0.43814,0.18033,0.04625,2.3558,6.9779,3.42774,0.000653333,0.000653333,0.000653333
2,496.79,1.86738,2.36045,1.85141,0.01109,0.0567,0.00406,0.00118,3.86528,9.1396,7.55527,0.00130693,0.00130693,0.00130693
