epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,215.278,1.28086,0.97027,1.35541,0.84549,0.7268,0.86601,0.48184,1.60041,1.06471,1.50364,0.0011882,0.0011882,0.0011882
43,220.198,1.25914,0.97711,1.34588,0.88538,0.79897,0.90134,0.50243,1.60444,0.95877,1.51877,0.0011684,0.0011684,0.0011684
44,225.146,1.29441,0.97545,1.36739,0.87157,0.81443,0.89966,0.48915,1.71071,1.04051,1.59613,0.0011486,0.0011486,0.0011486
45,230.416,1.24485,0.96195,1.34119,0.91418,0.75258,0.9118,0.52691,1.59933,0.91959,1.50955,0.0011288,0.0011288,0.0011288
46,235.606,1.2515,0.964,1.34247,0.80039,0.82677,0.89733,0.54656,1.44696,0.91968,1.44867,0.001109,0.001109,0.001109
47,240.783,1.23294,0.93582,1.32155,0.86471,0.85658,0.91785,0.50982,1.61267,0.93976,1.55453,0.0010892,0.0010892,0.0010892
48,246.059,1.18807,0.90884,1.30887,0.86611,0.87629,0.91829,0.47337,1.75134,0.96507,1.65412,0.0010694,0.0010694,0.0010694
49,251.1,1.19933,0.89209,1.30507,0.91217,0.8299,0.91378,0.52598,1.59722,0.87221,1.57011,0.0010496,0.0010496,0.0010496
50,256.101,1.21687,0.93267,1.31919,0.87614,0.79897,0.8934,0.50549,1.62619,0.94456,1.55382,0.0010298,0.0010298,0.0010298
51,261.063,1.18989,0.87178,1.30573,0.88002,0.86598,0.915,0.54021,1.51361,0.84918,1.46981,0.00101,0.00101,0.00101
52,266.057,1.19322,0.91164,1.30168,0.86134,0.84021,0.89608,0.53468,1.52937,0.88498,1.48239,0.0009902,0.0009902,0.0009902
53,271.029,1.15279,0.8652,1.29224,0.90507,0.83544,0.91276,0.53539,1.54041,0.90299,1.48724,0.0009704,0.0009704,0.0009704
54,276.056,1.1989,0.87562,1.3233,0.85891,0.85567,0.9017,0.53541,1.50806,0.89311,1.47967,0.0009506,0.0009506,0.0009506
55,281.013,1.15955,0.86585,1.30833,0.86014,0.85567,0.89818,0.53491,1.56815,0.84813,1.53511,0.0009308,0.0009308,0.0009308
56,285.943,1.17261,0.8304,1.28829,0.8449,0.81434,0.87544,0.53352,1.51106,0.95594,1.47093,0.000911,0.000911,0.000911
57,290.893,1.15694,0.83545,1.27924,0.86805,0.84779,0.91523,0.51054,1.67183,0.87283,1.57468,0.0008912,0.0008912,0.0008912
58,295.883,1.17764,0.83788,1.2973,0.84524,0.86598,0.91678,0.53234,1.54454,0.86524,1.50858,0.0008714,0.0008714,0.0008714
59,300.866,1.1656,0.81832,1.28496,0.87591,0.84536,0.90167,0.46661,1.77769,0.95126,1.64197,0.0008516,0.0008516,0.0008516
60,305.771,1.15779,0.83588,1.28589,0.90013,0.84021,0.9142,0.50081,1.68443,0.89176,1.5775,0.0008318,0.0008318,0.0008318
61,310.727,1.11717,0.79645,1.2646,0.8557,0.85584,0.91885,0.55771,1.44929,0.88218,1.44335,0.000812,0.000812,0.000812
62,315.794,1.1432,0.80131,1.2776,0.93032,0.84536,0.92344,0.58597,1.38564,0.787,1.41618,0.0007922,0.0007922,0.0007922
63,320.862,1.13502,0.79636,1.27461,0.84593,0.84536,0.90146,0.48248,1.71353,0.95268,1.61112,0.0007724,0.0007724,0.0007724
64,325.876,1.10092,0.77951,1.25123,0.89629,0.85052,0.91227,0.54102,1.55285,0.87093,1.51761,0.0007526,0.0007526,0.0007526
65,330.73,1.08041,0.77656,1.23702,0.8969,0.83505,0.90698,0.58364,1.3882,0.80293,1.43526,0.0007328,0.0007328,0.0007328
66,335.692,1.09674,0.77444,1.24669,0.85254,0.85052,0.90029,0.58948,1.3518,0.82311,1.39509,0.000713,0.000713,0.000713
67,340.93,1.1039,0.77307,1.25502,0.89707,0.80865,0.91071,0.52532,1.58145,0.88664,1.56532,0.0006932,0.0006932,0.0006932
68,346.55,1.10364,0.7794,1.25236,0.86723,0.87539,0.92002,0.52445,1.59375,0.86553,1.55575,0.0006734,0.0006734,0.0006734
69,352.123,1.09517,0.75023,1.23809,0.90191,0.83505,0.92381,0.58116,1.39243,0.73933,1.42586,0.0006536,0.0006536,0.0006536
70,357.914,1.09186,0.75589,1.24561,0.90199,0.86598,0.93012,0.59081,1.36184,0.73633,1.40451,0.0006338,0.0006338,0.0006338
71,363.593,1.07953,0.73732,1.22514,0.90471,0.88092,0.92268,0.52686,1.59032,0.78907,1.5435,0.000614,0.000614,0.000614
72,368.897,1.05258,0.73889,1.21828,0.87201,0.88144,0.91911,0.57568,1.34734,0.79883,1.36697,0.0005942,0.0005942,0.0005942
73,374.442,1.05035,0.73244,1.21127,0.85539,0.89175,0.91642,0.56029,1.4265,0.81131,1.41212,0.0005744,0.0005744,0.0005744
74,380.056,1.02019,0.70355,1.20165,0.86514,0.85567,0.90173,0.56726,1.4243,0.82904,1.43514,0.0005546,0.0005546,0.0005546
75,385.623,1.01421,0.6935,1.18827,0.90189,0.80554,0.88924,0.55213,1.47001,0.85082,1.44456,0.0005348,0.0005348,0.0005348
76,391.015,1.05684,0.70888,1.1993,0.87861,0.85809,0.90265,0.52713,1.54193,0.8515,1.49439,0.000515,0.000515,0.000515
77,396.45,0.99952,0.6722,1.1804,0.88786,0.89782,0.93482,0.57393,1.47723,0.74455,1.47509,0.0004952,0.0004952,0.0004952
78,402.025,1.02321,0.69663,1.18855,0.86373,0.88215,0.92288,0.57438,1.39517,0.80794,1.40628,0.0004754,0.0004754,0.0004754
79,407.482,1.03085,0.70852,1.19533,0.92399,0.85052,0.92877,0.58805,1.39761,0.7822,1.40877,0.0004556,0.0004556,0.0004556
80,412.993,0.95727,0.66496,1.17396,0.9309,0.85052,0.9193,0.55749,1.49548,0.79039,1.47458,0.0004358,0.0004358,0.0004358
81,418.441,0.99533,0.67108,1.18591,0.9032,0.86568,0.92111,0.56257,1.46237,0.84199,1.47205,0.000416,0.000416,0.000416
82,423.963,1.02835,0.70527,1.19109,0.90825,0.83505,0.89886,0.57676,1.38612,0.83003,1.42615,0.0003962,0.0003962,0.0003962
83,429.422,1.00389,0.6698,1.18624,0.94552,0.81443,0.906,0.57485,1.40371,0.77709,1.4332,0.0003764,0.0003764,0.0003764
84,434.827,0.99511,0.68744,1.18195,0.82075,0.89686,0.90902,0.59642,1.33254,0.74831,1.37218,0.0003566,0.0003566,0.0003566
85,440.34,0.97131,0.68275,1.18671,0.86901,0.86082,0.90717,0.57606,1.38586,0.80343,1.39932,0.0003368,0.0003368,0.0003368
86,445.865,0.97738,0.64265,1.16984,0.91677,0.81959,0.90222,0.59054,1.31777,0.80734,1.34536,0.000317,0.000317,0.000317
87,451.367,0.98056,0.64704,1.1719,0.88291,0.85052,0.9048,0.58172,1.33475,0.77498,1.3659,0.0002972,0.0002972,0.0002972
88,456.898,0.94415,0.65415,1.15989,0.9369,0.81959,0.91288,0.59129,1.33707,0.79092,1.36111,0.0002774,0.0002774,0.0002774
89,462.407,0.96282,0.62742,1.17504,0.9064,0.84536,0.91271,0.61495,1.26449,0.73832,1.33814,0.0002576,0.0002576,0.0002576
90,467.926,0.96509,0.65483,1.17737,0.8915,0.84709,0.92261,0.60497,1.32519,0.73477,1.36466,0.0002378,0.0002378,0.0002378
91,492.284,0.84632,0.51116,1.11216,0.89315,0.8299,0.90317,0.60258,1.31312,0.78002,1.3491,0.000218,0.000218,0.000218
92,497.446,0.8308,0.46458,1.08821,0.92255,0.86082,0.92435,0.60918,1.33072,0.73795,1.37729,0.0001982,0.0001982,0.0001982
93,502.537,0.82177,0.4576,1.09052,0.93279,0.85842,0.91752,0.60498,1.31605,0.76437,1.33264,0.0001784,0.0001784,0.0001784
94,507.661,0.77943,0.43321,1.06421,0.9439,0.86082,0.90807,0.60025,1.34539,0.78668,1.38484,0.0001586,0.0001586,0.0001586
95,513.106,0.77931,0.43242,1.07161,0.9154,0.85052,0.90936,0.61147,1.28224,0.8235,1.35133,0.0001388,0.0001388,0.0001388
96,518.395,0.77943,0.42422,1.06237,0.88769,0.85562,0.90953,0.61218,1.27786,0.81437,1.34693,0.000119,0.000119,0.000119
97,523.643,0.76718,0.43476,1.06646,0.91152,0.84962,0.90991,0.61438,1.27605,0.8179,1.33536,9.92e-05,9.92e-05,9.92e-05
98,528.427,0.75991,0.41597,1.06575,0.92191,0.85202,0.91841,0.61919,1.27273,0.801,1.33313,7.94e-05,7.94e-05,7.94e-05
99,533.159,0.77006,0.41901,1.06273,0.89957,0.87723,0.91435,0.61588,1.26786,0.80175,1.34385,5.96e-05,5.96e-05,5.96e-05
100,537.929,0.74643,0.40915,1.05406,0.91497,0.8875,0.92348,0.6202,1.26301,0.78834,1.34993,3.98e-05,3.98e-05,3.98e-05
