epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,415.53,1.19962,0.93945,1.31446,0.8634,0.81451,0.88594,0.59516,1.30716,0.89679,1.43494,0.0011684,0.0011684,0.0011684
44,427.976,1.18172,0.89775,1.28224,0.85837,0.73711,0.87178,0.58609,1.27069,0.94738,1.4061,0.0011486,0.0011486,0.0011486
45,437.013,1.16273,0.89372,1.26405,0.90251,0.76351,0.88494,0.58167,1.33964,0.8944,1.40129,0.0011288,0.0011288,0.0011288
46,444.394,1.15235,0.86447,1.26821,0.8774,0.81157,0.89614,0.60792,1.28003,0.8694,1.37306,0.001109,0.001109,0.001109
47,452.314,1.18299,0.89178,1.28647,0.86801,0.81358,0.87927,0.59171,1.31343,1.02108,1.41264,0.0010892,0.0010892,0.0010892
48,461.719,1.16151,0.90399,1.27372,0.82177,0.78866,0.87241,0.59148,1.34979,0.94615,1.43069,0.0010694,0.0010694,0.0010694
49,470.588,1.1593,0.8901,1.28709,0.87254,0.8299,0.90727,0.61251,1.27322,0.84034,1.37351,0.0010496,0.0010496,0.0010496
50,479.422,1.12904,0.84899,1.25451,0.89993,0.74172,0.87151,0.53243,1.4997,1.03326,1.519,0.0010298,0.0010298,0.0010298
51,487.906,1.13828,0.86486,1.25185,0.88043,0.75914,0.87109,0.58438,1.28183,0.94038,1.44887,0.00101,0.00101,0.00101
52,499.337,1.11013,0.82878,1.2461,0.77319,0.86598,0.89551,0.57876,1.36595,0.91983,1.43739,0.0009902,0.0009902,0.0009902
53,508.321,1.12213,0.83826,1.25303,0.83671,0.87162,0.91054,0.61576,1.25123,0.89399,1.36138,0.0009704,0.0009704,0.0009704
54,516.462,1.08739,0.7876,1.2398,0.89597,0.79381,0.90478,0.60697,1.29063,0.85747,1.38023,0.0009506,0.0009506,0.0009506
55,523.954,1.09313,0.82153,1.23442,0.82865,0.8974,0.91998,0.62185,1.26781,0.78834,1.37203,0.0009308,0.0009308,0.0009308
56,532.22,1.09173,0.83486,1.24114,0.90064,0.78866,0.89935,0.60007,1.25122,0.82728,1.35612,0.000911,0.000911,0.000911
57,540.844,1.08769,0.79419,1.23486,0.83509,0.88748,0.91107,0.62437,1.31349,0.75761,1.42786,0.0008912,0.0008912,0.0008912
58,548.434,1.09839,0.79733,1.24678,0.84772,0.84021,0.89351,0.62218,1.2691,0.81526,1.39079,0.0008714,0.0008714,0.0008714
59,554.599,1.06012,0.79549,1.2148,0.84739,0.88731,0.91035,0.60814,1.36268,0.83763,1.41626,0.0008516,0.0008516,0.0008516
60,559.639,1.03612,0.76005,1.20974,0.80391,0.88758,0.90458,0.60977,1.30991,0.85866,1.37808,0.0008318,0.0008318,0.0008318
61,564.735,1.05943,0.77836,1.22531,0.89454,0.84021,0.91329,0.60759,1.30298,0.84355,1.36697,0.000812,0.000812,0.000812
62,569.729,1.04904,0.77064,1.2142,0.86924,0.80412,0.88077,0.59546,1.28131,0.85987,1.35513,0.0007922,0.0007922,0.0007922
63,574.615,1.0053,0.7331,1.18555,0.85111,0.88144,0.90702,0.60909,1.32728,0.80603,1.44244,0.0007724,0.0007724,0.0007724
64,579.887,1.02294,0.72771,1.20629,0.89876,0.80412,0.90536,0.60437,1.31504,0.76646,1.41502,0.0007526,0.0007526,0.0007526
65,587.914,0.98203,0.72217,1.1737,0.89783,0.81535,0.90722,0.63052,1.23132,0.77986,1.36794,0.0007328,0.0007328,0.0007328
66,595.274,1.01888,0.72908,1.18828,0.89623,0.80135,0.9102,0.61686,1.22013,0.80362,1.32716,0.000713,0.000713,0.000713
67,603.045,0.96605,0.67286,1.15382,0.92222,0.8299,0.92066,0.62257,1.27841,0.81422,1.386,0.0006932,0.0006932,0.0006932
68,611.485,0.99106,0.70608,1.16237,0.89862,0.84536,0.91228,0.6372,1.24658,0.76756,1.34394,0.0006734,0.0006734,0.0006734
69,620.062,0.94731,0.68505,1.1474,0.87716,0.88339,0.91689,0.64562,1.25627,0.68987,1.38163,0.0006536,0.0006536,0.0006536
